a 啊嗄锕阿
ai 哀哎唉嗌嗳埃嫒挨捱暧爱瑷癌皑矮砹碍艾蔼锿隘霭
an 俺埯安岸庵按揞暗案桉氨犴胺谙铵鞍鹌黯
ang 昂盎肮
ao 傲凹嗷坳奥媪岙廒懊拗敖澳熬獒翱聱螯袄遨鏊鏖骜鳌
ba 八叭吧坝岜巴扒把拔捌灞爸疤笆粑罢耙芭茇菝跋钯霸靶魃鲅
bai 佰拜捭掰摆擘柏白百稗败
ban 伴办半坂扮扳拌搬斑板版班瓣瘢癍绊舨般钣阪颁
bang 傍帮梆棒榜浜磅绑膀蒡蚌谤邦镑
bao 保勹包堡孢宝报抱暴煲爆胞苞葆薄褒褓豹趵雹饱鲍鸨龅
bei 倍北卑呗备孛悖悲惫杯焙狈碑碚背蓓被褙贝辈邶鐾钡陂鞴鹎
ben 坌奔本畚笨苯贲锛
beng 嘣崩泵甏甭绷蹦迸
bi 俾匕吡哔壁妣婢嬖币庇庳弊弼彼必愎敝比毕毖毙滗濞狴璧畀痹碧秕笔筚箅篦臂舭荜荸萆蓖蔽薜裨襞跸逼避鄙铋闭陛髀鼻
bian 便匾卞变弁忭扁汴煸砭碥窆笾缏编苄蝙褊贬辨辩辫边遍鞭鳊
biao 婊彪杓标灬瘭膘表裱镖镳飑飙飚骠髟鳔
bie 别憋瘪蹩鳖
bin 傧宾彬摈斌槟殡滨濒玢缤膑豳镔髌鬓
bing 丙兵冫冰并摒柄炳病禀秉邴饼
bo 亳伯剥勃博卜啵帛拨搏播檗波渤玻礴箔簸脖膊舶菠跛踣钵钹铂饽驳鹁
bu 不卟哺埠布怖捕晡步瓿簿补逋部醭钚钸
ca 嚓擦礤
cai 彩才材猜睬菜蔡裁财踩采
can 参孱惨惭掺残灿璨粲蚕餐骖黪
cang 仓伧沧舱苍藏
cao 嘈操曹槽漕糙艚艹草螬
ce 侧册厕恻测策
cen 岑涔
ceng 噌层曾蹭
cha 叉姹察岔差插搽杈查槎檫汊猹碴茬茶衩诧锸镲馇
chai 侪拆柴瘥虿豺钗
chan 产冁婵廛忏搀潺澶禅缠羼蒇蝉蟾觇谄谗躔铲镡阐颤馋骣
chang 伥倡偿厂唱场娼嫦尝常徜怅惝敞昌昶氅猖畅肠苌菖阊鬯鲳
chao 吵嘲巢怊抄晁朝潮炒焯耖超钞
che 坼屮彻扯掣撤澈砗车
chen 嗔宸尘忱抻晨榇沉琛碜臣衬谌谶趁辰郴陈龀
cheng 丞乘呈城埕塍惩成承撑晟枨柽橙澄瞠秤称程蛏裎诚逞酲铖骋
chi 侈傺叱吃哧啻嗤坻墀媸尺弛彳持敕斥池炽痴瘛眵笞篪翅耻茌蚩螭褫赤踟迟饬驰魑鸱齿
chong 充冲宠崇忡憧舂艟茺虫铳
chou 丑仇俦帱惆愁抽畴瘳瞅稠筹绸臭踌酬雠
chu 亍储出刍初厨处怵憷搐杵楚楮樗橱滁畜矗础绌蜍褚触蹰躇锄除雏黜
chuai 啜嘬揣搋膪踹
chuan 串传喘巛川椽氚穿舛舡船遄钏
chuang 创幢床怆疮窗闯
chui 吹垂捶棰椎槌炊锤陲
chun 唇春椿淳纯莼蝽蠢醇鹑
chuo 戳绰踔辍辶龊
ci 伺刺呲慈次此瓷疵磁祠糍茈茨词赐辞雌鹚
cong 丛从匆囱枞淙琮璁聪苁葱骢
cou 凑腠辏
cu 促徂殂猝簇粗蔟蹙蹴酢醋
cuan 撺汆爨窜篡蹿镩
cui 催啐崔悴摧榱毳淬璀瘁粹翠脆萃
cun 存寸忖村皴
cuo 厝嵯挫措搓撮痤矬磋脞蹉锉错鹾
da 哒嗒大妲怛打搭沓瘩笪答耷褡达靼鞑
dai 代傣呆呔埭岱带待怠戴歹殆玳甙绐袋贷迨逮骀黛
dan 丹但儋单啖弹惮担掸旦殚氮淡澹疸瘅眈箪耽聃胆萏蛋诞赕郸
dang 党凼宕当挡档砀荡菪裆谠铛
dao 倒刀刂到叨导岛忉悼捣氘焘盗祷稻纛蹈道
de 得德的锝
deng 凳噔嶝戥灯登瞪磴等簦蹬邓镫
di 低嘀地堤娣嫡帝底弟抵敌柢棣氐涤滴狄睇砥碲笛第籴缔羝翟荻蒂觌诋谛迪递邸镝骶
dian 佃典坫垫奠巅店惦掂殿淀滇点玷电甸癜癫碘簟踮钿阽靛颠
diao 凋刁叼吊掉碉调貂钓铞铫雕鲷
die 叠喋嗲垤堞揲爹牒瓞碟耋蝶谍跌蹀迭鲽
ding 丁仃叮啶定玎疔盯碇耵腚订酊钉铤锭顶鼎
diu 丢铥
dong 东侗冬冻动咚垌岽峒恫懂栋氡洞硐胨胴董鸫
dou 兜抖斗痘窦篼蔸蚪豆逗都陡
du 嘟堵妒度杜椟毒渎渡牍犊独督睹碡笃肚芏蠹读赌镀髑黩
duan 断椴段煅短端簖缎锻
dui 兑堆对怼憝碓镦队
dun 吨囤墩敦沌炖盹盾砘礅趸蹲遁钝顿
duo 剁咄哆哚垛堕多夺惰掇朵柁缍舵裰跺踱躲铎
e 俄厄呃噩垩娥婀屙峨恶愕扼腭苊莪萼蛾讹谔轭遏鄂锇锷阏颚额饿鳄鹅鹗
ei 诶
en 恩摁蒽
er 二佴儿尔洱珥而耳贰迩铒饵鲕鸸
fa 乏伐发垡法珐砝筏罚阀
fan 凡反帆幡梵樊泛烦燔犯畈番矾繁翻范蕃藩蘩贩蹯返钒饭
fang 仿匚坊妨房放方枋纺肪舫芳访邡钫防鲂
fei 匪吠啡妃废悱扉斐榧沸淝狒痱篚绯翡肥肺腓芾菲蜚诽费镄霏非飞鲱
fen 份偾分吩坟奋忿愤棼氛汾瀵焚粉粪纷芬酚鲼鼢
feng 丰俸冯凤唪奉封峰枫沣烽疯砜缝葑蜂讽逢酆锋风
fou 否缶
fu 付伏佛俘俯傅凫副匐呋咐复夫妇孚孵富幅幞府弗怫扶抚拂拊敷斧服桴氟浮涪滏父甫砩祓福稃符绂绋缚罘肤腐腑腹艴芙苻茯莩菔蚨蜉蝠蝮袱覆讣负赋赙赴趺跗辅辐郛釜阜阝附馥驸鲋鳆麸黻黼
ga 伽呷嘎噶尕尜尬旮钆
gai 丐垓戤改概溉盖该赅钙陔
gan 坩尴干感擀敢旰杆柑橄泔淦澉甘疳矸秆竿绀肝苷赣赶酐
gang 冈刚岗戆杠港筻纲缸罡肛钢
gao 告搞杲槁槔皋睾稿篙糕缟羔膏藁诰郜锆镐高
ge 个仡割各咯哥哿嗝圪塥戈搁搿格歌疙硌纥胳膈舸葛虼袼铬镉阁隔革骼鬲鸽
gei 给
gen 亘哏根艮茛跟
geng 哽埂庚更梗绠羹耕耿赓鲠
gong 供公共功宫工巩廾弓恭拱攻汞珙肱蚣觥贡躬龚
gou 佝勾垢够媾岣彀构枸沟狗笱篝缑苟觏诟购遘钩鞲
gu 估古呱咕嘏固姑孤崮故梏毂汩沽牯牿痼瞽箍罟股臌菇菰蛄蛊觚诂谷轱辜酤钴锢雇顾骨鲴鸪鹄鹘鼓
gua 刮剐卦寡挂栝瓜聒胍褂诖鸹
guai 乖怪拐掴
guan 倌关冠官惯掼棺涫灌盥管罐莞观贯馆鳏鹳
guang 光咣广桄犷胱逛
gui 傀刽刿匦圭妫宄庋归晷柜桂桧炔瑰癸皈硅簋规诡贵跪轨闺鬼鲑鳜龟
gun 丨棍滚磙绲衮辊鲧
guo 呙国埚崞帼果椁猓虢蜾蝈裹过郭锅馘
ha 哈蛤铪
hai 亥嗨孩害氦海胲还醢骇骸
han 函含喊寒悍憨憾捍撖撼旱晗汉汗涵瀚焊焓罕翰菡蚶邗邯酣阚韩顸颔鼾
hang 夯杭沆珩绗航颃
hao 号嗥嚆嚎壕好昊毫浩濠灏皓耗蒿薅蚝豪貉郝颢
he 何劾合呵和喝嗬壑曷核河涸盍盒禾翮荷菏蚵褐诃贺赫阂阖颌鹤
hei 嘿黑
hen 很恨狠痕
heng 亨哼恒桁横蘅衡
hong 哄宏弘泓洪烘红荭蕻薨虹訇讧轰闳鸿黉
hou 侯候厚后吼喉堠後猴瘊篌糇逅骺鲎
hu 乎互冱呼唬唿囫壶岵弧忽怙惚户戽扈护斛槲沪浒湖滹烀煳狐猢琥瑚瓠祜笏糊胡葫虍虎蝴觳轷醐鹕鹱
hua 划化华哗桦滑猾画花话铧骅
huai 坏徊怀槐淮踝
huan 唤圜奂宦寰幻患换擐桓欢洹浣涣漶焕獾环痪缓缳萑豢逭郇锾鬟鲩
huang 凰幌徨恍惶慌晃湟潢煌璜癀皇磺篁簧肓荒蝗蟥谎遑隍鳇黄
hui 会卉咴哕喙回彗徽恚恢悔惠慧挥晖晦毁汇洄浍灰烩珲秽绘缋茴荟蕙虺蛔蟪讳诙诲贿辉隳麾
hun 婚昏浑混溷荤诨阍馄魂
huo 伙劐嚯夥惑或攉活火砉祸耠获藿蠖豁货钬锪镬霍
ji 丌乩亟伎佶偈冀几击剂剞即及叽吉咭哜唧圾基墼妓姬嫉季寂寄屐岌嵇嵴己彐忌急悸戟戢技挤掎既暨机极棘楫殛汲洎济激犄玑畸畿疾瘠矶祭积稷稽笄笈箕籍级纪继绩缉羁肌脊芨芰荠蒺蓟蕺藉虮觊计讥记诘赍跻跽辑迹际集霁饥骥髻鲚鲫鸡麂齑
jia 价佳假加嘉夹嫁家岬恝戛架枷浃珈甲痂瘕稼笳胛茄荚葭蛱袈袷贾跏迦郏钾铗镓颊驾
jian 件俭健僭兼减剑剪囝坚奸尖建戋戬拣捡搛枧柬检楗歼毽涧渐湔溅煎牮犍监睑硷碱笕笺简箭缄缣翦肩腱舰艰茧荐菅蒹裥见謇谏谫贱趼践踺蹇鉴锏键间鞯饯鲣鹣
jiang 僵匠奖姜将桨江洚浆犟疆礓糨绛缰耩茳蒋讲豇酱降
jiao 交佼侥僬剿叫噍姣娇峤徼挢搅教敫椒浇湫焦狡皎矫礁窖绞缴胶脚艽茭蕉蛟角跤轿较郊酵醮铰饺骄鲛鹪
jie 介借劫卩喈嗟姐婕孑届戒截拮捷接揭杰桀洁界疖疥皆睫碣秸竭结羯节芥蚧街解讦诫阶颉骱鲒
jin 仅今劲卺噤堇妗尽巾廑斤晋槿津浸烬瑾矜禁筋紧缙荩衿襟觐谨赆近进金钅锦靳馑
jing 井京儆兢净刭境婧弪径惊憬敬旌景晶泾獍痉睛竞竟粳精经肼胫腈茎荆菁警迳镜阱靓靖静颈鲸
jiong 冂扃炅炯窘迥
jiu 久九僦厩咎啾就揪救旧柩桕灸玖疚究纠臼舅赳酒阄韭鬏鸠鹫
ju 举俱倨具剧句咀局居屦巨惧拒拘据掬桔椐榉榘橘沮炬犋狙琚疽矩窭聚苣苴莒菊菹裾讵趄距踞踽遽醵钜锔锯雎鞠鞫飓驹龃
juan 倦卷娟捐桊涓狷眷绢蠲鄄锩镌隽鹃
jue 倔决劂厥噘噱嚼孓崛抉掘撅攫桷橛爝爵獗珏矍绝蕨觉觖诀谲蹶镢
jun 俊军君均峻捃浚皲竣菌郡钧骏麇
ka 佧卡咔咖喀胩
kai 凯剀垲开忾恺慨揩楷蒈铠锎锴
kan 侃刊勘坎堪戡槛看瞰砍莰龛
kang 亢伉康慷扛抗炕糠钪闶
kao 尻拷栲烤犒考铐靠
ke 克刻可咳嗑坷壳客岢恪柯棵氪渴溘珂疴瞌磕科稞窠缂苛蝌课轲钶锞颏颗骒髁
ken 啃垦恳肯裉龈
keng 吭坑铿
kong 倥孔崆恐控空箜
kou 口叩寇扣抠眍筘芤蔻
ku 刳哭喾堀库枯窟绔苦裤酷骷
kua 侉垮夸挎胯跨
kuai 侩哙块快狯筷脍蒯郐
kuan 宽款髋
kuang 况匡哐圹夼旷框狂眶矿筐纩诓诳贶邝
kui 亏匮喟喹夔奎岿悝愦愧揆暌溃盔睽窥篑聩葵蒉蝰跬逵隗馈馗魁
